"id","code_edi","name","rapport_ids/report_id/id","rapport_ids/sequence"
"__export__.report_group_1","1","Liasse fiscale normale","__export__.report_engin_actif","10"
"","","","__export__.report_engin_passif","11"
"","","","__export__.report_engin_cpc","11"
"","","","__export__.report_engin_cpc_suite","11"
"","","","__export__.report_engin_passage","11"
"","","","__export__.report_engin_immobilisation_AQF","12"
"","","","__export__.report_engin_esg","13"
"","","","__export__.report_engin_detail_cpc","14"
"","","","__export__.report_engin_detail_cpc2","15"
"","","","__export__.report_engin_bien_creditbail","16"
"","","","__export__.report_engin_amortissements","17"
"","","","__export__.report_engin_provisions","18"
"","","","__export__.report_engin_plusoumoins_value","19"
"","","","__export__.report_engin_titreparticipation","20"
"","","","__export__.report_engin_taxe_va","21"
"","","","__export__.report_engin_repartition_capitalsoc","22"
"","","","__export__.report_engin_affection_resultatinterv","23"
"","","","__export__.report_engin_calcul_impot","24"
"","","","__export__.report_engin_dotations_amortissements","25"
"","","","__export__.report_engin_plusvalues","26"
"","","","__export__.report_engin_interet_emprunt","27"
"","","","__export__.report_engin_locations_baux","28"
"","","","__export__.report_engin_details_stocks","29"
"","","","__export__.report_engin_tests_coherence","100"
